,PYPL
2020-11-02,0.07532275654375553
2021-02-03,0.07343690404120613
2021-05-05,0.06257552736335331
2021-07-28,0.09079471544215553
2021-11-08,0.09240396656095981
2022-02-01,0.09623327531984874
2022-04-27,0.09350573271512985
2022-08-02,0.09737803171510281
2022-11-03,0.08859218067179124
2023-02-09,0.07216982632875442
2023-05-08,0.050588143846163384
2023-08-02,0.030034455160299938
2023-11-01,0.03642443913434233
2024-02-07,0.0286378292688008
2024-04-30,0.029822230835755668
2024-07-30,0.024689612850066153
2024-10-29,0.019783316645771265
2025-02-04,0.020675638182596726
2025-04-29,0.022625491899602553
2025-07-29,0.017876671041761126
2025-10-28,0.02560602045721478
2026-02-03,0.027337400494395075
