,PYPL
2020-11-02,0.0649842917919159
2021-02-03,0.07196489721536636
2021-05-05,-0.0007918820483610034
2021-07-28,0.0884760171175003
2021-11-08,0.08153172582387924
2022-02-01,0.09000767767429352
2022-04-27,0.062426887452602386
2022-08-02,0.12183573842048645
2022-11-03,0.09623803198337555
2023-02-09,0.05768230929970741
2023-05-08,0.06213032454252243
2023-08-02,-0.21919812262058258
2023-11-01,-0.39281001687049866
2024-02-07,-0.15907959640026093
2024-04-30,0.03149779140949249
2024-07-30,0.029329771175980568
2024-10-29,-0.06551717221736908
2025-02-04,-0.027698852121829987
2025-04-29,0.024156760424375534
2025-07-29,0.02624230645596981
2025-10-28,0.015054556541144848
2026-02-03,0.04404232278466225
