,LIN
2018-04-26,-0.002235374180600047
2018-07-26,0.010368939282165634
2018-11-09,0.014614407531917095
2019-03-18,0.022519907998767765
2019-05-10,0.014854582492262125
2019-08-05,0.06178944600889316
2019-11-12,0.05853177048265934
2020-02-13,0.05265541548530261
2020-05-07,0.05686281458474696
2020-07-30,0.06129577865495401
2020-11-05,0.05589625922342142
2021-02-05,0.05792323284243282
2021-05-06,0.04465052243322134
2021-07-30,0.07272229645223845
2021-10-28,0.07467636178162965
2022-02-10,0.07583280571776888
2022-04-28,0.07522302881504099
2022-07-28,0.07347343444824218
2022-10-27,0.07121276572489968
2023-02-07,0.07473125891691004
2023-04-27,0.06916433469658452
2023-07-27,0.06315139376012416
2023-10-26,0.03212342389548818
2024-02-06,0.013882076818375819
2024-05-02,0.016132858145283535
2024-08-02,0.017754676695348637
2024-10-31,0.01655086105251137
2025-02-06,0.018879496386008603
2025-05-01,0.021763027102376025
2025-08-01,0.019647608712516928
2025-10-31,0.021318893463007714
2026-02-05,0.017435333834817775
