,LIN
2020-05-07,0.05994153022766113
2020-07-30,0.06917185336351395
2020-11-05,0.05923281982541084
2021-02-05,0.06095023825764656
2021-05-06,0.029910173267126083
2021-07-30,0.07378021627664566
2021-10-28,0.07663655281066895
2022-02-10,0.07673900574445724
2022-04-28,0.07453887164592743
2022-07-28,0.07142504304647446
2022-10-27,0.06810815632343292
2023-02-07,0.0731407031416893
2023-04-27,0.0687757208943367
2023-07-27,0.05261059105396271
2023-10-26,0.015982428565621376
2024-02-06,-0.03298640251159668
2024-05-02,0.019536608830094337
2024-08-02,0.02697247453033924
2024-10-31,0.011341765522956848
2025-02-06,0.026358643546700478
2025-05-01,0.029464254155755043
2025-08-01,0.01593257486820221
2025-10-31,0.017522333189845085
2026-02-05,0.017538217827677727
